Support_Year;Cluster;Timestep;HP;EB
0;2;117;0.0;0.0
0;2;118;0.0;0.0
0;2;119;0.0;0.0
0;2;120;0.0;0.0
0;2;121;0.0;0.0
0;2;122;0.0;0.0
0;2;123;0.0;0.0
0;2;124;0.0;0.0
0;2;125;124.813;0.0
0;2;126;517.368;0.0
0;2;127;393.568;0.0
0;2;128;339.969;0.0
0;2;129;535.791;0.0
0;2;130;921.776;0.0
0;2;131;1118.152;0.0
0;2;132;1118.152;0.0
0;2;133;1118.152;0.0
0;2;134;1118.152;0.0
0;2;135;298.74;0.0
0;2;136;211.131;0.0
0;2;137;0.0;0.0
0;2;138;0.0;0.0
0;2;139;0.0;0.0
0;2;140;0.0;0.0
0;2;141;0.0;0.0
0;2;142;0.0;0.0
0;2;143;0.0;0.0
0;2;144;0.0;0.0
0;2;145;0.0;0.0
0;2;146;0.0;0.0
0;2;147;0.0;0.0
0;2;148;0.0;0.0
0;2;149;0.0;0.0
0;2;150;0.0;0.0
0;2;151;0.0;0.0
0;2;152;0.0;0.0
0;2;153;307.568;0.0
0;2;154;308.765;0.0
0;2;155;278.137;0.0
0;2;156;389.193;0.0
0;2;157;16.256;0.0
0;2;158;156.251;0.0
0;2;159;366.543;0.0
0;2;160;1118.152;0.0
0;2;161;0.0;0.0
0;2;162;0.0;0.0
0;2;163;0.0;0.0
0;2;164;0.0;0.0
0;2;165;0.0;0.0
0;2;166;446.518;0.0
0;2;167;1118.152;0.0
0;3;0;1118.152;0.0
0;3;1;1118.152;0.0
0;3;2;1118.152;0.0
0;3;3;1118.152;0.0
0;3;4;1118.152;0.0
0;3;5;1118.152;0.0
0;3;6;1118.152;0.0
0;3;7;1118.152;0.0
0;3;8;1097.472;0.0
0;3;9;1049.069;0.0
